1,1001111111,basic,7,11,9:10,15,,,,
2,1001111111,access,7,11,9:10,15,Please correct the following errors,Basic permit holders can only reserve basic parking areas.,,
3,1001111111,midrange,7,11,9:10,15,Please correct the following errors,Basic permit holders can only reserve basic parking areas.,,
4,1001111111,premium,7,11,9:10,15,Please correct the following errors,Basic permit holders can only reserve basic parking areas.,,
5,1002222222,basic,7,11,9:10,15,,,,
6,1002222222,midrange,7,11,9:10,15,,,,
7,1002222222,premium,7,11,9:10,15,Please correct the following errors,Midrange permit holders can only reserve basic or midrange parking areas.,,
8,1002222222,access,7,11,9:10,15,Please correct the following errors,Midrange permit holders can only reserve basic or midrange parking areas.,,
9,1003333333,basic,7,11,9:10,15,,,,
10,1003333333,midrange,7,11,9:10,15,,,,
11,1003333333,premium,7,11,9:10,15,,,,
12,1003333333,access,7,11,9:10,15,Please correct the following errors,Access parking areas are exclusively reserved for Access permit holders only.,,
13,1004444444,basic,7,11,9:10,15,Please correct the following errors,Access parking holders can only reserve access parking areas.,,
14,1004444444,midrange,7,11,9:10,15,Please correct the following errors,Access parking holders can only reserve access parking areas.,,
15,1004444444,premium,7,11,9:10,15,Please correct the following errors,Access parking holders can only reserve access parking areas.,,
16,1004444444,access,7,11,9:10,15,,,,
17,1001111111,basic,7,11,,15,Please correct the following errors,,You must provide a start time.,
18,1001111111,basic,7,11,6:10,15,Please correct the following errors,,Reservation cannot start at/before the current time.,
19,1001111111,basic,7,11,8:10,15,,,,
20,1001111111,basic,7,11,7:10,15,Please correct the following errors,,Reservation cannot start at/before the current time.,
21,1001111111,basic,7,11,7:11,15,Please correct the following errors,,Start time cannot be less than 15mins from current time.,
22,1001111111,basic,7,11,7:25,15,Please correct the following errors,,Start time cannot be less than 15mins from current time.,
23,1001111111,basic,7,11,7:26,15,,,,
24,1001111111,basic,7,11,00:11,15,Please correct the following errors,,Reservation cannot start at/before the current time.,
25,1001111111,basic,7,11,23:11,15,,,,
26,1001111111,basic,7,11,7:00,15,Please correct the following errors,,Reservation cannot start at/before the current time.,
27,1001111111,basic,7,11,7:59,15,,,,
28,1001111111,basic,7,11,7:59,,Please correct the following errors,,,You must provide a duration!
29,1001111111,basic,7,11,7:59,thisIsNotANumber!!,Please correct the following errors,,,Duration of the reservation must be a number!
30,1001111111,basic,7,11,7:59,14,Please correct the following errors,,,Minimum is 15minutes. The maximum 180(3hours)
31,1001111111,basic,7,11,7:59,181,Please correct the following errors,,,Minimum is 15minutes. The maximum 180(3hours)
32,1001111111,basic,7,11,7:59,15,,,,
33,1001111111,basic,7,11,7:59,180,,,,
36,1001111111,basic,7,11,7:59,16,Please correct the following errors,,,Duration must be in intervals of 15mins
37,1001111111,basic,7,11,7:59,179,Please correct the following errors,,,Duration must be in intervals of 15mins
38,1001111111,basic,7,11,23:46,15,Please correct the following errors,,,Start time + duration cannot exceed midnight.
39,1001111111,basic,7,11,23:45,15,,,,
